-10, -5, -4, -3, 0, 1, 5, 6, 7
Put 98, 1, 33, -2, 0, 5, 2, -3, 7 in increasing order.
-3, -2, 0, 1, 2, 5, 7, 33, 98
Put 9, -3, 2, -2, -5, 8, 3, -71, 0 in decreasing order.
9, 8, 3, 2, 0, -2, -3, -5, -71
Sort 3, -7, 4, 73, 0, 5, 9, -3, -6 in decreasing order.
73, 9, 5, 4, 3, 0, -3, -6, -7
Sort 7, -2, 1, 10, 15, 75, 9, 5, 0.
-2, 0, 1, 5, 7, 9, 10, 15, 75
Sort 2, 4, 3, -1, 32, -4, 0, 88, -3 in decreasing order.
88, 32, 4, 3, 2, 0, -1, -3, -4
Put 3, 1, -2, 7, 6, 0, -5, 9, -739 in ascending order.
-739, -5, -2, 0, 1, 3, 6, 7, 9
Put 2, 762, -3, 1, 5, 8, 25, -4, 6 in decreasing order.
762, 25, 8, 6, 5, 2, 1, -3, -4
Sort 2, 3, -3, 6, 732, 0, 8, -5, 4 in increasing order.
-5, -3, 0, 2, 3, 4, 6, 8, 732
Sort -7, 30, 4, 5, 3, 22, -6, 6, -3 in ascending order.
-7, -6, -3, 3, 4, 5, 6, 22, 30
Put 9, -1, -6, 5, 0, 59, 21, -4, 3 in ascending order.
-6, -4, -1, 0, 3, 5, 9, 21, 59
Sort 1, -8, 6, -6, 5, -2, -29, 8, 3 in descending order.
8, 6, 5, 3, 1, -2, -6, -8, -29
Put 7, 900, 0, 5, 9, 2, -8, -2, -1 in descending order.
900, 9, 7, 5, 2, 0, -1, -2, -8
Sort 59, 5, 291, -4, 7, 0, 11, 3, 4 in increasing order.
-4, 0, 3, 4, 5, 7, 11, 59, 291
Put -3, 53, 16, 1, 6, 71, 27, 4, 5 in increasing order.
-3, 1, 4, 5, 6, 16, 27, 53, 71
Put 4, 222, 77, 8, 2, -4, 9, -1, 0 in descending order.
222, 77, 9, 8, 4, 2, 0, -1, -4
Sort 2, 0, 3, 964, -42, 1, 6, 4, -4 in descending order.
964, 6, 4, 3, 2, 1, 0, -4, -42
Sort -74, 5, 29, 2, 647, 0, 1, 4, 8 in descending order.
647, 29, 8, 5, 4, 2, 1, 0, -74
Sort 4, 9, 0, 13, 3, 54, 55, 2, -5 in decreasing order.
55, 54, 13, 9, 4, 3, 2, 0, -5
Sort 3, 0, 16, 5, 68, 42, -3, 8, 20 in descending order.
68, 42, 20, 16, 8, 5, 3, 0, -3
Sort 7, 1, 4, 3, -4, 560, 2, 24, -3 in descending order.
560, 24, 7, 4, 3, 2, 1, -3, -4
Sort 3, 5, -5, 4, -4, 1, -12, 53, 8 in ascending order.
-12, -5, -4, 1, 3, 4, 5, 8, 53
Sort -32, 1, 7, 4, 878, 6, 2, -5, 5.
-32, -5, 1, 2, 4, 5, 6, 7, 878
Sort 1, 3, 5, -7, -4, 7, 98, 4, -9.
-9, -7, -4, 1, 3, 4, 5, 7, 98
Sort 12, -1, -5, 54, 4, 5, -2, 3, 9.
-5, -2, -1, 3, 4, 5, 9, 12, 54
Put -94, 5, -33, -5, 0, 3, 7, 1, 4 in decreasing order.
7, 5, 4, 3, 1, 0, -5, -33, -94
Sort -2, 2, 6, 68, -3, 11, 1, 0, 34 in descending order.
68, 34, 11, 6, 2, 1, 0, -2, -3
Sort -3, 2, 22, 6, 8, -8, -20, 5, 1.
-20, -8, -3, 1, 2, 5, 6, 8, 22
Sort 5, 73, -4, 6, 41, 24, 0, 4, 19 in descending order.
73, 41, 24, 19, 6, 5, 4, 0, -4
Sort -2, 1, 5, -6, 2, 14, 0, -1, -4 in decreasing order.
14, 5, 2, 1, 0, -1, -2, -4, -6
Put 1, 6, 32, 2, -4, 5, 3, -58, -5 in decreasing order.
32, 6, 5, 3, 2, 1, -4, -5, -58
Sort 7, 88, 3, 1, 0, 5, 10, 2, 30.
0, 1, 2, 3, 5, 7, 10, 30, 88
Sort -1, 2, 43, 8, 80, 5, 1, 12, -2 in decreasing order.
80, 43, 12, 8, 5, 2, 1, -1, -2
Sort 3, -78, 5, -2, 9, 124, 7, 1, 0.
-78, -2, 0, 1, 3, 5, 7, 9, 124
Sort 7, 52, -2, 18, 3, 1, 6, 2, 12.
-2, 1, 2, 3, 6, 7, 12, 18, 52
Put 2, 3, 7, -5, 14, -1, 18, 44, 4 in descending order.
44, 18, 14, 7, 4, 3, 2, -1, -5
Put 3, 5, -7, 50, 227, 2, 1, 0, -2 in increasing order.
-7, -2, 0, 1, 2, 3, 5, 50, 227
Put -64, -4, 3, 5, 8, 4, 0, 24, 34 in increasing order.
-64, -4, 0, 3, 4, 5, 8, 24, 34
Put 5, 2, 8, 144, 338, 0, 9, 3, -5 in ascending order.
-5, 0, 2, 3, 5, 8, 9, 144, 338
Sort 3, 6, -22, 2, 27, 1, 4, 9, -9.
-22, -9, 1, 2, 3, 4, 6, 9, 27
Put -1, 47, 7, 1, -57, 5, -4, 2, 0 in descending order.
47, 7, 5, 2, 1, 0, -1, -4, -57
Put 7, -4, 1, 10, 2, 5, 66, -5, 8 in descending order.
66, 10, 8, 7, 5, 2, 1, -4, -5
Sort 2, 6, -17, 0, 5, 12, 1, -1, -8.
-17, -8, -1, 0, 1, 2, 5, 6, 12
Sort 0, 2, -2, -4, -3, 18, -7, 8, 5 in decreasing order.
18, 8, 5, 2, 0, -2, -3, -4, -7
Put 33, -4, 0, 1, 51, 2, 3, 28, 26 in decreasing order.
51, 33, 28, 26, 3, 2, 1, 0, -4
Put 5, 10, 3, 4, -4, -7, 9, 2, -25 in ascending order.
-25, -7, -4, 2, 3, 4, 5, 9, 10
Sort 14, 1, 7, 23, -5, 0, 5, 204, 3 in increasing order.
-5, 0, 1, 3, 5, 7, 14, 23, 204
Put 13, 0, 23, 3, 2, 5, 1, 17, 339 in decreasing order.
339, 23, 17, 13, 5, 3, 2, 1, 0
Put 150, 13, 7, 1, 0, 4, 5, -41, 9 in ascending order.
-41, 0, 1, 4, 5, 7, 9, 13, 150
Put 14, 4, 738, -2, 1, 3, 42, 5, 0 in decreasing order.
738, 42, 14, 5, 4, 3, 1, 0, -2
Sort 2, -1, 6, 9, 1, 3, -3, -360, 5 in descending order.
9, 6, 5, 3, 2, 1, -1, -3, -360
Sort 9, -1, -2, 2, 439, 8, 5, 7, -4.
-4, -2, -1, 2, 5, 7, 8, 9, 439
Sort -215, 0, 4, 2, 8, 60, 3, -1, 1 in descending order.
60, 8, 4, 3, 2, 1, 0, -1, -215
Put 6, 3, -4, -5, 5, 36, 8, 17, 53 in descending order.
53, 36, 17, 8, 6, 5, 3, -4, -5
Sort 1, 4, -5, -6, 5, 14, -2, 6, -7 in ascending order.
-7, -6, -5, -2, 1, 4, 5, 6, 14
Sort 1, -4, 4, 5, -2, 3521, 2, 3, 9 in ascending order.
-4, -2, 1, 2, 3, 4, 5, 9, 3521
Sort -1, -3, 49, -5, 0, 39, 2, 5, 4 in increasing order.
-5, -3, -1, 0, 2, 4, 5, 39, 49
Put 1, 20, -9, 2, -1, 4, 0, 3, -6 in decreasing order.
20, 4, 3, 2, 1, 0, -1, -6, -9
Put 131, 6, -3, -1, 1, 4, 3, 45, 0 in descending order.
131, 45, 6, 4, 3, 1, 0, -1, -3
Put 1, -8, 9, 3, 0, 6, 2, -3, 534 in decreasing order.
534, 9, 6, 3, 2, 1, 0, -3, -8
Sort -5, 1, -6, 5, -3, 2, 4, -4, 36 in increasing order.
-6, -5, -4, -3, 1, 2, 4, 5, 36
Sort 21, 8, 2, 72, -4, 1, -6, 0, 7 in increasing order.
-6, -4, 0, 1, 2, 7, 8, 21, 72
Put -1, 73, 1, 6, -4, -11, 7, 3, 4 in increasing order.
-11, -4, -1, 1, 3, 4, 6, 7, 73
Put -35, 4, 3, 46, 6, 5, 16, 1, -2 in decreasing order.
46, 16, 6, 5, 4, 3, 1, -2, -35
Sort -2, 1, 5, 2, -5, 13, 4, -6, 10 in ascending order.
-6, -5, -2, 1, 2, 4, 5, 10, 13
Sort 4, 9, 3, -2, 1, 13, 0, 7, 2800 in ascending order.
-2, 0, 1, 3, 4, 7, 9, 13, 2800
Sort 2, 4, 5, 1, -1, 56, -2, -5, 28 in descending order.
56, 28, 5, 4, 2, 1, -1, -2, -5
Sort 3, 7, -7, -1, -5, 1, 46, 85, 2.
-7, -5, -1, 1, 2, 3, 7, 46, 85
Sort -72, -5, 9, 3, 13, 8, -3, 0, 4 in descending order.
13, 9, 8, 4, 3, 0, -3, -5, -72
Sort 0, 2, 8, 5, 21, 4, 19, -3, 237 in descending order.
237, 21, 19, 8, 5, 4, 2, 0, -3
Sort 2, -1, 0, 4, -2, 20, 5, 925, 3.
-2, -1, 0, 2, 3, 4, 5, 20, 925
Sort 2, 0, -95, 4, 3, -1, 24, 5, 1 in ascending order.
-95, -1, 0, 1, 2, 3, 4, 5, 24
Put 5, 3, 1, 4, 0, 7, 2, 4251, 10 in descending order.
4251, 10, 7, 5, 4, 3, 2, 1, 0
Sort 44, 9, 21, -2, 8, 55, 0, 5, 1 in decreasing order.
55, 44, 21, 9, 8, 5, 1, 0, -2
Put 9, 3, 0, 86, 11, -5, 25, 2, 4 in increasing order.
-5, 0, 2, 3, 4, 9, 11, 25, 86
Sort -1, 4, 3172, 5, 3, 2, 10, 6, 1 in ascending order.
-1, 1, 2, 3, 4, 5, 6, 10, 3172
Sort 4, 82, 1, 3, 2, -4, -114, 6, 5 in descending order.
82, 6, 5, 4, 3, 2, 1, -4, -114
Put -1, 3, 46, 14, 1, 2, -2, 37, 4 in descending order.
46, 37, 14, 4, 3, 2, 1, -1, -2
Sort 5, 9, 30, 20, 64, -5, 8, -3, 1.
-5, -3, 1, 5, 8, 9, 20, 30, 64
Put 5, -5, 50, 81, 3, 4, 0, 1, 90 in decreasing order.
90, 81, 50, 5, 4, 3, 1, 0, -5
Sort 18, 69, 1, 0, 10, 4, 3, 2, 46 in decreasing order.
69, 46, 18, 10, 4, 3, 2, 1, 0
Put 76, 5, 0, 6, 3, 20, 43, -22, 4 in increasing order.
-22, 0, 3, 4, 5, 6, 20, 43, 76
Put 22, 8, -2, -3, -4, 18, 5, 4, 1 in descending order.
22, 18, 8, 5, 4, 1, -2, -3, -4
Sort 7347, 2, 4, -5, 3, 5, -2, 0, 7 in ascending order.
-5, -2, 0, 2, 3, 4, 5, 7, 7347
Sort 1, -3, 5, 8, -2, 289, 6, -1, 7.
-3, -2, -1, 1, 5, 6, 7, 8, 289
Put 6, 3, -12, 1, 2, 5, 30, 25, -6 in increasing order.
-12, -6, 1, 2, 3, 5, 6, 25, 30
Put 8, -16, 5, 2, 7, 1, -3, 3, 10 in decreasing order.
10, 8, 7, 5, 3, 2, 1, -3, -16
Sort 4, 1, -4, 7, 0, -24, 2, -1, 6 in increasing order.
-24, -4, -1, 0, 1, 2, 4, 6, 7
Sort -9, 12, 16, 9, 7, 1, -3, -1, 4.
-9, -3, -1, 1, 4, 7, 9, 12, 16
Sort 0, -40, 52, -5, 9, 11, 4, 7, 3 in increasing order.
-40, -5, 0, 3, 4, 7, 9, 11, 52
Put 0, 4, -1, 2, 6, -659, 3, 26, 5 in decreasing order.
26, 6, 5, 4, 3, 2, 0, -1, -659
Put 5, 54, 5862, -6, 0, 6, 2, 4, 3 in ascending order.
-6, 0, 2, 3, 4, 5, 6, 54, 5862
Sort 71, 10, 4, 3, 25, -9, -3, 2, 5 in decreasing order.
71, 25, 10, 5, 4, 3, 2, -3, -9
Sort 13, -3, -6, 5, 2, 1, 0, 746, 4 in increasing order.
-6, -3, 0, 1, 2, 4, 5, 13, 746
Put -4, -21, 3, 5, 0, 4, 8, 32, 18 in ascending order.
-21, -4, 0, 3, 4, 5, 8, 18, 32
Put 6, 2, 33, 1, -61, 4, 8, -2, 0 in increasing order.
-61, -2, 0, 1, 2, 4, 6, 8, 33
Sort 6, 10, 9, 42, 2, 65, 0, -7, -5 in decreasing order.
65, 42, 10, 9, 6, 2, 0, -5, -7
Sort 1, 96, 2, -3, -8, 6, 4, -4, -1 in decreasing order.
96, 6, 4, 2, 1, -1, -3, -4, -8
Sort -9, 1, 12, -2, 4, 5, -69, 2, 8.
-69, -9, -2, 1, 2, 4, 5, 8, 12
Put -9, 3, 9, -4, -5, -2, 22, 5, 0 in decreasing order.
22, 9, 5, 3, 0, -2, -4, -5, -9
Put -9, 6, 5, 7, -4, 1, 4, -6, -5 in decreasing order.
7, 6, 5, 4, 1, -4, -5, -6, -9
Sort 4, -944, 6, 7, 0, 2, 58, -5, 3 in ascending order.
-944, -5, 0, 2, 3, 4, 6, 7, 58
Sort 4, 8, 6, -7, 25, -5, 1, -8, 52.
-8, -7, -5, 1, 4, 6, 8, 25, 52
Sort 0, 2, 18, -5, -7, 26, 4, -2, 7.
-7, -5, -2, 0, 2, 4, 7, 18, 26
Sort -16, -1, 37, 2, 0, 17, 3, 4, 1.
-16, -1, 0, 1, 2, 3, 4, 17, 37
Put -2, 47, 9, 0, -11, 2, -5, 1, 8 in decreasing order.
47, 9, 8, 2, 1, 0, -2, -5, -11
Sort 3, 5, 26, 7, 144, -73, 0, 4, 2 in decreasing order.
144, 26, 7, 5, 4, 3, 2, 0, -73
Put 53, -3, 2, 3, -7, 76, -6, 7, 4 in increasing order.
-7, -6, -3, 2, 3, 4, 7, 53, 76
Sort 87, 27, 2, 7, -2, -1, 4, 5, 32 in decreasing order.
87, 32, 27, 7, 5, 4, 2, -1, -2
Put 4, -1, 3, 2, 7, -9, 66, 30, -2 in ascending order.
-9, -2, -1, 2, 3, 4, 7, 30, 66
Put 11, 4, -2, 141, 5, 3, 7, -1, 1 in increasing order.
-2, -1, 1, 3, 4, 5, 7, 11, 141
Sort 18, 55, 1, -5, 4, 5, 3, 16, 39.
-5, 1, 3, 4, 5, 16, 18, 39, 55
Put 6, 4, 9, -83, -7, 2, 10, 0, 13 in ascending order.
-83, -7, 0, 2, 4, 6, 9, 10, 13
Put 43, -5, 5, -6, 2, -90, 8, 1, 0 in ascending order.
-90, -6, -5, 0, 1, 2, 5, 8, 43
Put 1, -98, 82, -3, 3, -5, 0, 5, 4 in increasing order.
-98, -5, -3, 0, 1, 3, 4, 5, 82
Put 3, 0, 4, 12, -1084, 9, 8, 7, 5 in increasing order.
-1084, 0, 3, 4, 5, 7, 8, 9, 12
Put 5, 0, 3, 15, 14, 87, 1, -1, 7 in increasing order.
-1, 0, 1, 3, 5, 7, 14, 15, 87
Sort 1, 60, -3, 2, 7, -9, 8, 3, -20 in decreasing order.
60, 8, 7, 3, 2, 1, -3, -9, -20
Sort 4, 6, 0, 71, -12, 3, 74, -4, 2.
-12, -4, 0, 2, 3, 4, 6, 71, 74
Put -17, 0, 3, 2, 9, 4, 122, 66, 1 in ascending order.
-17, 0, 1, 2, 3, 4, 9, 66, 122
Sort 70, 4, 0, 10, -4, -1, 47, 8, 2 in decreasing order.
70, 47, 10, 8, 4, 2, 0, -1, -4
Sort -2, 3, -5, 0, 4, -6, 1, 622, 2.
-6, -5, -2, 0, 1, 2, 3, 4, 622
Sort 93, 1, -5, 5, -1, 9, -37, 3, 2 in descending order.
93, 9, 5, 3, 2, 1, -1, -5, -37
Sort 35, 5, 174, 4, 62, 1, 0, -4, 9 in ascending order.
-4, 0, 1, 4, 5, 9, 35, 62, 174
Sort 0, 11, 5, 510, 3, 7, 4, -4, 6 in ascending order.
-4, 0, 3, 4, 5, 6, 7, 11, 510
Sort 1, -21, 18, 4, 75, 25, 5, 7, 3 in decreasing order.
75, 25, 18, 7, 5, 4, 3, 1, -21
Sort 8, -8, 5, 1, 13, -3, 6, 2, -2.
-8, -3, -2, 1, 2, 5, 6, 8, 13
Sort 4, -81, -4, 5, 2, 42, 3, 81, 0 in decreasing order.
81, 42, 5, 4, 3, 2, 0, -4, -81
Sort 12, -2, 3, 2, 4, 1, 22, 49, 0 in decreasing order.
49, 22, 12, 4, 3, 2, 1, 0, -2
Sort 8469, 2, -2, 0, 3, 9, -1, 4, 5 in descending order.
8469, 9, 5, 4, 3, 2, 0, -1, -2
Put 28, 1, 4, 7, 5, 2, 18, 3, 10 in decreasing order.
28, 18, 10, 7, 5, 4, 3, 2, 1
Sort -47, 5, -73, 0, 42, 1, 2, 7, 6 in decreasing order.
42, 7, 6, 5, 2, 1, 0, -47, -73
Put 2, 1, -32, -5, 726, 4, 5, 6, 0 in increasing order.
-32, -5, 0, 1, 2, 4, 5, 6, 726
Put 47, 4, 51, 5, -5, 2, 12, 3, 28 in descending order.
51, 47, 28, 12, 5, 4, 3, 2, -5
Sort 570, 0, 6, -1, 1, -2, 3, 4, 11.
-2, -1, 0, 1, 3, 4, 6, 11, 570
Put -5, 3, 9, -3, 8, 0, 186, 1, 7 in descending order.
186, 9, 8, 7, 3, 1, 0, -3, -5
Sort 5, 6, 117, 1, 2, 4, 0, -17, -4 in ascending order.
-17, -4, 0, 1, 2, 4, 5, 6, 117
Put -4, 1, 7, -5, 2, 0, 3, -3, 821 in descending order.
821, 7, 3, 2, 1, 0, -3, -4, -5
Sort 1, 3, 65, -28, 2, 39, -5, 4, 5 in decreasing order.
65, 39, 5, 4, 3, 2, 1, -5, -28
Put 4, 16, -59, 2, 12, 9, 6, 1, -6 in increasing order.
-59, -6, 1, 2, 4, 6, 9, 12, 16
Sort 3, 8, -4, 5, 2, 7, 25, 4, 179 in decreasing order.
179, 25, 8, 7, 5, 4, 3, 2, -4
Sort 6, -866, 9, 5, 3, -2, 0, 7, -5.
-866, -5, -2, 0, 3, 5, 6, 7, 9
Sort 3, 0, -26, 1, 2, 8, -7, -4, -8 in decreasing order.
8, 3, 2, 1, 0, -4, -7, -8, -26
Put -1, 2, 3, 4, -23, 6, 54, 1, 18 in descending order.
54, 18, 6, 4, 3, 2, 1, -1, -23
Sort 3, 5, 505, -2, 1, 6, 69, 4, 0 in decreasing order.
505, 69, 6, 5, 4, 3, 1, 0, -2
Sort 2, 8, -5, 0, 50, -4, 4, -6, 21.
-6, -5, -4, 0, 2, 4, 8, 21, 50
Put -3, 29, 1, 5, -8, 2, 4, -15, 7 in decreasing order.
29, 7, 5, 4, 2, 1, -3, -8, -15
Put 9, 1, 26, 5, 20, 0, -5, 2, 3 in decreasing order.
26, 20, 9, 5, 3, 2, 1, 0, -5
Put 5, 0, -2, 12, 3, 39, 13, 7, 65 in decreasing order.
65, 39, 13, 12, 7, 5, 3, 0, -2
Sort 1, 2, 5, 30, 0, 3, -3, 24, -13.
-13, -3, 0, 1, 2, 3, 5, 24, 30
Sort 2, 13, 4, -2, 9, 3, 1, 10, 82 in decreasing order.
82, 13, 10, 9, 4, 3, 2, 1, -2
Sort 1, 69, 6, -1, 0, -7, 26, 5, 19.
-7, -1, 0, 1, 5, 6, 19, 26, 69
Put 6, 8, 9, 13, 1, 4, -2, -30, 21 in decreasing order.
21, 13, 9, 8, 6, 4, 1, -2, -30
Sort 3, 2, 4, -8, 7, 33, -1, 13, 45.
-8, -1, 2, 3, 4, 7, 13, 33, 45
Sort -3, 1, 23, 41, 2, 8, 5, 9, -10 in descending order.
41, 23, 9, 8, 5, 2, 1, -3, -10
Put -1, 78, 1, 0, -3, -6, 4, 5, -2 in increasing order.
-6, -3, -2, -1, 0, 1, 4, 5, 78
Sort -3, 1, 91, 2, 0, 53, 4, 28, 3 in decreasing order.
91, 53, 28, 4, 3, 2, 1, 0, -3
Sort 0, 4, -89, 7, 1, 8, -3, 13, 3.
-89, -3, 0, 1, 3, 4, 7, 8, 13
Put 2, 11, 3, -5, 84, 0, 23, 4, 73 in descending order.
84, 73, 23, 11, 4, 3, 2, 0, -5
Put 2, 1, -2, 7, 3, -1, -5, 123, 0 in decreasing order.
123, 7, 3, 2, 1, 0, -1, -2, -5
Sort -3, 2, -10, 62, 5, 0, 3, 9, 13 in descending order.
62, 13, 9, 5, 3, 2, 0, -3, -10
Sort 78, 5, -3, 31, 22, 0, 2, 3, 14 in descending order.
78, 31, 22, 14, 5, 3, 2, 0, -3
Sort 0, 2, 5, -20, -4, 19, 6, 15, 8 in increasing order.
-20, -4, 0, 2, 5, 6, 8, 15, 19
Put -8, -7, 339, 1, 2, 0, 4, 3, -2 in increasing order.
-8, -7, -2, 0, 1, 2, 3, 4, 339
Sort 3, 0, 2, 5, 166, -5, 132, 6, 4.
-5, 0, 2, 3, 4, 5, 6, 132, 166
Sort 1, 42, -3, -6, 3, -7, 8, 45, 0 in decreasing order.
45, 42, 8, 3, 1, 0, -3, -6, -7
Sort -3, 8, 0, -5, -4, -7, 1, 42, 3 in descending order.
42, 8, 3, 1, 0, -3, -4, -5, -7
Sort 3, 4, 6, -5, 76, -21, 0, 1, 7 in descending order.
76, 7, 6, 4, 3, 1, 0, -5, -21
Sort 19, 390, -2, -5, 2, 3, 5, 4, 0 in ascending order.
-5, -2, 0, 2, 3, 4, 5, 19, 390
Put 6, -4, -41, 2, 5, 4, 14, -5, 3 in decreasing order.
14, 6, 5, 4, 3, 2, -4, -5, -41
Sort 0, -98, 5, 3, -7, 6, -65, 2, 4 in descending order.
6, 5, 4, 3, 2, 0, -7, -65, -98
Sort 5, 52, 0, -5, 33, 8, 3, 2, 79 in decreasing order.
79, 52, 33, 8, 5, 3, 2, 0, -5
Sort 6, -1, 4, 8, -7, 823, 1, -2, 0.
-7, -2, -1, 0, 1, 4, 6, 8, 823
Sort 8, 4, 1, 21, 12, 9, -2, 10, 75 in descending order.
75, 21, 12, 10, 9, 8, 4, 1, -2
Put 93, 1, -1, 0, 4, 2, 195, 11, 5 in ascending order.
-1, 0, 1, 2, 4, 5, 11, 93, 195
Sort 94, 43, 2, 4, -31, 0, 1, 5, -3 in decreasing order.
94, 43, 5, 4, 2, 1, 0, -3, -31
Sort 2, 7, 0, -228, 1, 3, 68, 5, -5 in ascending order.
-228, -5, 0, 1, 2, 3, 5, 7, 68
Sort 13, 4, 1, 8, 14, 40, -6, 5, 0 in decreasing order.
40, 14, 13, 8, 5, 4, 1, 0, -6
Sort 0, 56, -2, 3, 2, -7, 5, 6, -45 in descending order.
56, 6, 5, 3, 2, 0, -2, -7, -45
Put 11, 6, 37, 4, 27, 5, 1, 2, 94 in descending order.
94, 37, 27, 11, 6, 5, 4, 2, 1
Sort 4, -4, 10, 3, 7, 2, 27, 14, 13 in descending order.
27, 14, 13, 10, 7, 4, 3, 2, -4
Put -3, 6, 952, 4, 40, 5, -4, 2, 3 in decreasing order.
952, 40, 6, 5, 4, 3, 2, -3, -4
Put 4, 8, -3, 2, 9, -1, 1, 657, -4 in increasing order.
-4, -3, -1, 1, 2, 4, 8, 9, 657
Sort -4, 0, 1, -1, 2, 615, 5, 52, 9.
-4, -1, 0, 1, 2, 5, 9, 52, 615
Sort 5, 3, 6, -2, -1, 1566, 8, 4, 2 in decreasing order.
1566, 8, 6, 5, 4, 3, 2, -1, -2
Put 9, 93, 4, 8, -1, 5, 3, 29, -2 in decreasing order.
93, 29, 9, 8, 5, 4, 3, -1, -2
Sort 0, 20, -4, 5, 7, 4, 2, -3, 63 in decreasing order.
63, 20, 7, 5, 4, 2, 0, -3, -4
Put 4, -3, 28, 17, 2, -5, 38, 8, 0 in decreasing order.
38, 28, 17, 8, 4, 2, 0, -3, -5
Sort -3, 4, -33, 6, 1, 17, 0, 2, 10.
-33, -3, 0, 1, 2, 4, 6, 10, 17
Put -42, 3, 0, 1, 4, 29, 5, 49, -1 in ascending order.
-42, -1, 0, 1, 3, 4, 5, 29, 49
Sort 0, 4, 9, 5, -62, 2, -80, 1, 67.
-80, -62, 0, 1, 2, 4, 5, 9, 67
Sort 4, 24, 3, 1, 98, 2, 6, 42, 134 in descending order.
134, 98, 42, 24, 6, 4, 3, 2, 1
Sort -3, -9, 7, 6, 74, 1, 9, 0, -2 in increasing order.
-9, -3, -2, 0, 1, 6, 7, 9, 74
Sort 3, -3, 4, 71, -1, -4, 1, 0, 76.
-4, -3, -1, 0, 1, 3, 4, 71, 76
Sort 2, 7, 4, -4, -1, -9, 59, 0, -3.
-9, -4, -3, -1, 0, 2, 4, 7, 59
Sort 3, -5, -66, 1, -2, 5, 7, 86, 4 in descending order.
86, 7, 5, 4, 3, 1, -2, -5, -66
Sort 0, 6, 138, 5, 17, 31, 1, 2, 4 in increasing order.
0, 1, 2, 4, 5, 6, 17, 31, 138
Sort 3, 170, 53, -2, 8, 2, 4, 1, 5.
-2, 1, 2, 3, 4, 5, 8, 53, 170
Put 3, 89, -3, 1, 251, 4, -5, 5, 0 in increasing order.
-5, -3, 0, 1, 3, 4, 5, 89, 251
Sort 7, 28, 0, -1, 2, 3, 4, 525, -4 in increasing order.
-4, -1, 0, 2, 3, 4, 7, 28, 525
Sort 4, 51, -20, -1, 23, 1, 3, 7, 2 in decreasing order.
51, 23, 7, 4, 3, 2, 1, -1, -20
Sort -6, -2, -1, 7, 119, 0, 1, 5, 2.
-6, -2, -1, 0, 1, 2, 5, 7, 119
Sort 43, 0, 5, -9, 3, 1, -1, 74, 10.
-9, -1, 0, 1, 3, 5, 10, 43, 74
Sort 93, 0, -54, 5, 1, 4, -7, 12, 7 in decreasing order.
93, 12, 7, 5, 4, 1, 0, -7, -54
Sort -3, 95, 8, 0, 2, 5, -245, 3, 6 in descending order.
95, 8, 6, 5, 3, 2, 0, -3, -245
Sort 6, 4, 9, -3, -4, 7, 5, 0, 1898 in increasing order.
-4, -3, 0, 4, 5, 6, 7, 9, 1898
Sort -3, 2, 8, 3, 80, 4, 18, 6, -13.
-13, -3, 2, 3, 4, 6, 8, 18, 80
Sort 449, 8, 3, -2, 6, -3, 0, 35, 5 in ascending order.
-3, -2, 0, 3, 5, 6, 8, 35, 449
